internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
162502,Stoloteuthis leucoptera,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE,Stoloteuthis,leucoptera,,,,,"(Verrill, 1878)","Given its wide geographic distribution, this species may represent a species complex   (Reid and Jereb 2005)."
162503,Sepia koilados,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE,Sepia,koilados,,,,,"Reid, 2000",
162504,Sepia pharaonis,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE,Sepia,pharaonis,,,,,"Ehrenberg, 1831","<em></em>This species may consist of a species complex (e.g. the hectocotylus differs in male specimens collected from Australia and Japan)   (Reid <em>et al.</em> 2005). Norman (2003) identifies three <span style=""font-style: italic;"">pharaonis</span> species: <span style=""font-style: italic;"">Sepia pharaonis</span> I, in the western&#160; Indian Ocean (Red Sea and Arabian Gulf); <span style=""font-style: italic;"">S. pharaonis</span> II, Japan to the Gulf of Thailand and and northern Australia; and <span style=""font-style: italic;"">S. pharaonis</span> III, in the Indian Ocean to Andaman Sea."
162505,Sepia latimanus,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE,Sepia,latimanus,,,,,"Quoy &amp; Gaimard, 1832",<em>Sepia latimanus</em> is likely to consist of a species complex   (Reid <em>et al.</em> 2005).
162506,Sepia murrayi,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE,Sepia,murrayi,,,,,"Adam &amp; Rees, 1966",
162507,Megaleledone setebos,ANIMALIA,MOLLUSCA,CEPHALOPODA,OCTOPODA,MEGALELEDONIDAE,Megaleledone,setebos,,,,,"(Robson, 1932)",For rationale of synonymy see Allcock <em>et al</em>. (2003).  <em>Megaleledone setebos</em> is a monotypic genus.
162508,Sepiola parva,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE,Sepiola,parva,,,,,"Sasaki, 1913",
162509,Sepia trygonina,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE,Sepia,trygonina,,,,,"(Rochebrune, 1884)",
162510,Sepia robsoni,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE,Sepia,robsoni,,,,,"(Massy, 1927)","This species is insufficiently described (Khromov <span style=""font-style: italic;"">et al.</span> 1998). It is one of five  species in the <span style=""font-style: italic;"">Hemisepius</span> species complex, the others being <span style=""font-style: italic;"">S. dubia</span>, <span style=""font-style: italic;"">S. pulchra</span>, <span style=""font-style: italic;"">S. faurei</span>  and <span style=""font-style: italic;"">S. typica</span>. All five  species are small (about 2 cm mantle length) and are found off South  Africa."
162511,Sepia tokioensis,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE,Sepia,tokioensis,,,,,"Ortmann, 1888",
162512,Sepia longipes,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE,Sepia,longipes,,,,,"Sasaki, 1914",
162513,Sepia madokai,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE,Sepia,madokai,,,,,"Adam, 1939","Misidentifications with <em>Sepia acuminata</em> Smith, 1916 and <em>Sepia hedleyi</em> Berry, 1918 (Reid <span style=""font-style: italic;"">et al.</span> 2005)."
162514,Sepia baxteri,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE,Sepia,baxteri,,,,,"(Iredale, 1940)","This species is known only from the type cuttlebone (Reid <span style=""font-style: italic;"">et al.</span> 2005).&#160;&#160; It is a possible junior synonym of <span style=""font-style: italic;"">Sepia bandensis</span> Adam, 1939."
162515,Sepia plana,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE,Sepia,plana,,,,,"Lu &amp; Reid, 1997",
162516,Euprymna penares,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE,Euprymna,penares,,,,,"(Gray, 1849)",The taxonomy of this genus remains unresolved   (Reid and Jereb 2005).
162517,Rossia glaucopis,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE,Rossia,glaucopis,,,,,"Loven, 1845",
162518,Austrorossia bipapillata,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE,Austrorossia,bipapillata,,,,,"(Sasaki, 1920)",
162519,Neorossia leptodons,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE,Neorossia,leptodons,,,,,"Reid, 1992",
162520,Sepia senta,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE,Sepia,senta,,,,,"Lu and Reid, 1997",
