assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
906905,162512,Sepia longipes,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,longipes,,,,"Sasaki, 1914",Data Deficient,,3.1,Unknown,Global
907105,162513,Sepia madokai,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,madokai,,,,"Adam, 1939",Data Deficient,,3.1,Unknown,Global
907364,162514,Sepia baxteri,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,baxteri,,,,"(Iredale, 1940)",Data Deficient,,3.1,Unknown,Global
907492,162515,Sepia plana,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,plana,,,,"Lu &amp; Reid, 1997",Least Concern,,3.1,Unknown,Global
907630,162516,Euprymna penares,ANIMALIA,MOLLUSCA,SEPIOLIDA,CEPHALOPODA,SEPIOLIDAE,Euprymna,penares,,,,"(Gray, 1849)",Data Deficient,,3.1,Unknown,Global
907766,162517,Rossia glaucopis,ANIMALIA,MOLLUSCA,SEPIOLIDA,CEPHALOPODA,SEPIOLIDAE,Rossia,glaucopis,,,,"Loven, 1845",Data Deficient,,3.1,Unknown,Global
907876,162518,Austrorossia bipapillata,ANIMALIA,MOLLUSCA,SEPIOLIDA,CEPHALOPODA,SEPIOLIDAE,Austrorossia,bipapillata,,,,"(Sasaki, 1920)",Data Deficient,,3.1,Unknown,Global
908078,162519,Neorossia leptodons,ANIMALIA,MOLLUSCA,SEPIOLIDA,CEPHALOPODA,SEPIOLIDAE,Neorossia,leptodons,,,,"Reid, 1992",Data Deficient,,3.1,Unknown,Global
908215,162520,Sepia senta,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,senta,,,,"Lu and Reid, 1997",Least Concern,,3.1,Unknown,Global
908353,162521,Sepiolina nipponensis,ANIMALIA,MOLLUSCA,SEPIOLIDA,CEPHALOPODA,SEPIOLIDAE,Sepiolina,nipponensis,,,,"(Berry, 1911)",Data Deficient,,3.1,Unknown,Global
908576,162522,Sepia elongata,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,elongata,,,,"d'Orbigny, 1839-1842 (in Férussac &amp; d'Orbigny 1834-1848)",Data Deficient,,3.1,Unknown,Global
