https://www.fao.org/fishery/statistics-query/en/gfcm_capture/gfcm_capture_quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name En,ASFIS species Name En,Unit Name,2020,2020 Flag,2019,2019 Flag,2018,2018 Flag,2017,2017 Flag,2016,2016 Flag,2015,2015 Flag,2014,2014 Flag,2013,2013 Flag,2012,2012 Flag,2011,2011 Flag,2010,2010 Flag,2009,2009 Flag,2008,2008 Flag,2007,2007 Flag,2006,2006 Flag,2005,2005 Flag,2004,2004 Flag,2003,2003 Flag,2002,2002 Flag,2001,2001 Flag,2000,2000 Flag,1999,1999 Flag,1998,1998 Flag,1997,1997 Flag,1996,1996 Flag,1995,1995 Flag,1994,1994 Flag,1993,1993 Flag,1992,1992 Flag,1991,1991 Flag,1990,1990 Flag
Albania,Mullets nei,Tonnes - live weight,35,,40,,44,,72,,64,,52,,78,,61,,55,,75,,140,,128,,110,,75,,76,,140,,55,,3,,78,,130,,45,,66,,36,,42,,105,,52,,100,E,150,E,196,,200,,778,
Albania,Norway lobster,Tonnes - live weight,194,,213,,257,,389,,411,,405,,400,,398,,435,,0,,0,,0,,1,,0,M,4,,2,,2,,2,,5,,10,,0,,0,,0,,0,N,3,,0,N,0,M,0,M,0,M,0,M,0,M
Albania,Pandoras nei,Tonnes - live weight,52,,52,,31,,44,,47,,42,,43,,34,,25,,31,,23,,39,,54,,25,,30,,3,,20,,13,,26,,15,,34,,35,,33,,25,,27,,12,,0,M,0,M,0,M,0,M,0,M
Albania,Picarels nei,Tonnes - live weight,,,,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,4,,53,,0,M,10,,2,,4,,53,,47,,59,,11,,5,,10,,7,,7,,0,N,11,,0,M,50,E,100,E,127,,133,,1150,
Albania,Poor cod,Tonnes - live weight,,,,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,,0,,0,,0,,0,,2,,1,,5,,8,,0,M,0,M,2,,1,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M
Albania,Porbeagle,Tonnes - live weight,,,,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,4,,2,,1,,0,M,0,M,0,M,2,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M
Albania,"Porgies, seabreams nei",Tonnes - live weight,,,,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,,3,,0,,0,,0,,7,,3,,4,,2,,2,,1,,0,,0,,0,,1,,9,,3,,50,E,70,E,82,,59,,146,
Albania,"Rays, stingrays, mantas nei",Tonnes - live weight,,,,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,30,,6,,32,,50,,27,,51,,44,,28,,16,,28,,14,,85,,78,,86,,24,,23,,67,,15,E,10,E,10,,10,,20,
Albania,Rocklings nei,Tonnes - live weight,0,,0,,0,,1,,1,,2,,2,,1,,2,,0,,0,,10,,15,,12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Albania,Round sardinella,Tonnes - live weight,,,,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,,6,,0,,0,,0,,25,,15,,42,,54,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M
Albania,Salema,Tonnes - live weight,,,,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,2,,4,,15,,5,,2,,4,,4,,2,,0,N,5,,1,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M
Albania,Sardinia coral,Tonnes - live weight,0,,0,,0,,0,,0,,0,,0,,0,,1.2,,1.2,,1.2,,1,,1,,0.4,,0.3,,0,M,0.5,,1.6,,1.8,,1.2,,1,,0.9,,0.5,,0.8,,1.2,,1.3,,0,M,0,M,0.2,,0,M,0.6,
Albania,Scomber mackerels nei,Tonnes - live weight,116,,97,,116,,37,,28,,39,,24,,25,,13,,52,,80,,92,,84,,84,,47,,38,,51,,20,,11,,11,,4,,4,,4,,5,,10,,0,N,0,M,0,M,0,M,0,M,0,M
Albania,"Scorpionfishes, redfishes nei",Tonnes - live weight,,,,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,,0,,0,,0,,0,,0,,0,,0,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Albania,Shi drum,Tonnes - live weight,,,,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,8,,0,M,25,,0,M,12,,5,,4,,3,,10,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M
Albania,Silver scabbardfish,Tonnes - live weight,,,,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,1,,0,M,0,M,2,,2,,23,,1,,1,,3,,0,N,0,N,18,,19,,18,,0,N,0,N,7,,0,M,0,M,0,M,0,M,0,M
Albania,Silversides(=Sand smelts) nei,Tonnes - live weight,6,,4,,4,,5,,5,,5,,4,,5,,5,,4,,4,,8,,10,,5,,3,,4,,2,,0,M,16,,10,,20,,15,,11,,8,,20,,8,,15,E,20,E,20,,18,,63,
Albania,Smooth-hounds nei,Tonnes - live weight,0,,0,,5,,40,,37,,39,,35,,38,,34,,14,,10,,40,,21,,15,,8,,2,,12,,10,,23,,5,,32,,12,,12,,3,,12,,20,,0,M,0,M,0,M,0,M,0,M
Albania,Spottail mantis squillid,Tonnes - live weight,125,,123,,116,,101,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M
Albania,Stony sea urchin,Tonnes - live weight,,,,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,23,,18,,35,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M
Albania,Striped venus,Tonnes - live weight,1,,4,,2,,1,,1,,1,,1,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,N,0,N,20,E,50,E,76,,48,,181,
Albania,Surmullets(=Red mullets) nei,Tonnes - live weight,333,,373,,347,,470,,475,,466,,380,,448,,450,,132,,113,,187,,162,,154,,185,,113,,158,,141,,97,,170,,140,,145,,143,,61,,64,,76,,200,E,400,E,537,,158,,172,
Albania,Swordfish,Tonnes - live weight,0,,0,,0,,16,,15,,14,,11,,12,,9,,20,,17,,12,,28,,20,,23,,12,,5,,0,M,15,,2,,0,,0,,0,,0,N,13,,0,N,0,M,0,M,0,M,0,M,0,M
Albania,Turbot,Tonnes - live weight,25,,23,,0,,1,,1,,1,,2,,1,,1,,5,,0,M,12,,7,,10,,3,,3,,2,,3,,0,M,0,M,1,,1,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M
Albania,Wreckfish,Tonnes - live weight,,,,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,,0,,0,,0,,0,,4,,1,,1,,1,,10,,0,,0,,0,,0,,0,N,1,,0,N,0,M,0,M,0,M,0,M,0,M
Bosnia and Herzegovina,Marine fishes nei,Tonnes - live weight,5,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,5,E,4,E,3,E,2,E,1,E,1,E,1,E,1,E,,,,
