DATAFLOW,LAST UPDATE,freq,na_item,ppp_cat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EA19,2011,104.9,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EA19,2012,105.2,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EA19,2013,105.1,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EA19,2014,105.4,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EA19,2015,105.6,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EA19,2016,105.7,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EA19,2017,105.5,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EA19,2018,105.7,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EA19,2019,105.8,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EA19,2020,106.1,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EA19,2021,106.0,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EA19,2022,105.8,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EA20,2011,104.7,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EA20,2012,105.0,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EA20,2013,104.8,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EA20,2014,105.1,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EA20,2015,105.3,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EA20,2016,105.4,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EA20,2017,105.3,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EA20,2018,105.4,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EA20,2019,105.6,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EA20,2020,105.8,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EA20,2021,105.7,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EA20,2022,105.5,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EE,2011,74.3,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EE,2012,75.5,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EE,2013,76.8,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EE,2014,77.5,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EE,2015,77.5,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EE,2016,78.8,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EE,2017,80.9,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EE,2018,83.0,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EE,2019,84.9,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EE,2020,84.5,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EE,2021,86.9,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EE,2022,94.6,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EL,2011,97.6,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EL,2012,96.2,
ESTAT:TEC00120(1.0),21/06/23 23:00:00,A,PLI_EU27_2020,E011,EL,2013,92.4,
