DATAFLOW,LAST UPDATE,freq,c_resid,terrtypo,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,FI,2018,8751880,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,FI,2019,9158833,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,FI,2020,4823197,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,FI,2021,6102740,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,FI,2022,8495450,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,FR,2012,131765215,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,FR,2013,139076596,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,FR,2014,137106376,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,FR,2015,141504608,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,FR,2016,138120111,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,FR,2017,149143107,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,FR,2018,150915190,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,FR,2019,153527498,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,FR,2020,99531691,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,FR,2021,127500420,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,FR,2022,160688277,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,HR,2012,59097785,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,HR,2013,60935578,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,HR,2014,62319476,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,HR,2015,66898819,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,HR,2016,72628179,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,HR,2017,80238418,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,HR,2018,83106159,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,HR,2019,84368567,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,HR,2020,38133665,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,HR,2021,65747983,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,HR,2022,83710124,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,HU,2012,0,
ESTAT:TOUR_OCC_NIN2DC(1.0),31/07/23 23:00:00,A,TOTAL,CST_A,I551-I553,NR,HU,2013,0,
