DATAFLOW,LAST UPDATE,freq,indic_env,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EE,2019,120,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EE,2020,106,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EE,2021,15,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EE,2022,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EL,2000,435,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EL,2001,435,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EL,2002,48,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EL,2003,48,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EL,2004,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EL,2005,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EL,2006,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EL,2007,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EL,2008,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EL,2009,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EL,2010,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EL,2011,48,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EL,2012,48,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EL,2013,483,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EL,2014,532,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EL,2015,1063,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EL,2016,580,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EL,2017,483,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EL,2018,1063,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EL,2019,967,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EL,2020,435,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EL,2021,13532,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EL,2022,97,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,ES,2000,3635,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,ES,2001,3534,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,ES,2002,2726,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,ES,2003,0,
