DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL015,2018,204994,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL015,2019,202895,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL015,2020,200007,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL015,2021,197177,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL015,2022,193009,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL02,2012,1083768,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL02,2013,1097258,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL02,2014,1111160,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL02,2015,1124817,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL02,2016,1130587,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL02,2017,1146183,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL02,2018,1162544,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL02,2019,1170142,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL02,2020,1176240,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL02,2021,1178435,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL02,2022,1178623,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL021,2012,302863,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL021,2013,298995,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL021,2014,294938,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL021,2015,290666,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL021,2016,287606,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL021,2017,283822,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL021,2018,278548,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL021,2019,274982,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL021,2020,270074,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL021,2021,266245,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL021,2022,259112,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL022,2012,780905,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL022,2013,798263,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL022,2014,816222,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL022,2015,834151,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL022,2016,842981,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL022,2017,862361,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL022,2018,883996,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL022,2019,895160,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL022,2020,906166,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL022,2021,912190,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL022,2022,919511,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL03,2012,958182,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL03,2013,947428,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL03,2014,936313,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL03,2015,924531,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL03,2016,914024,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL03,2017,903504,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL03,2018,887987,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL03,2019,878527,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL03,2020,865026,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL03,2021,853351,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL03,2022,830999,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL031,2012,146736,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL031,2013,143856,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL031,2014,141114,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL031,2015,138365,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL031,2016,135441,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL031,2017,131942,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL031,2018,127432,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL031,2019,125157,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL031,2020,122003,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL031,2021,119450,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL031,2022,115050,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL032,2012,320789,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL032,2013,316599,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL032,2014,312248,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL032,2015,308014,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL032,2016,305108,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL032,2017,302507,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL032,2018,298144,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL032,2019,294747,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL032,2020,289889,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL032,2021,286002,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL032,2022,278413,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL033,2012,76054,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL033,2013,73753,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL033,2014,71567,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL033,2015,69557,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL033,2016,68020,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL033,2017,65939,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL033,2018,62951,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL033,2019,61423,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL033,2020,59381,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL033,2021,58031,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL033,2022,55278,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL034,2012,228118,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL034,2013,225634,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL034,2014,223029,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL034,2015,220196,
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,T,TOTAL,AL034,2016,217422,
