Country,Year,nitro,phospho,eutro,wasteG,wasteR,mspVal,ohiBio,co2,phCopernicus,fmsyF,bBmsy,kbaMPA,natura2kEEZ,fseRiskkRatio,tacCatch,compositeIUU,fteCoastalPop,gvaHoursW,economies,gvaNights,oResearch,sadTac,ohiArt,threatenedFish,imoRatedf
France,2020,,,4.0,22.22222222222222,71.94388777555109,,72.12,81.81707705602103,,,,81.88238,,,,,12.409120987388304,,0.2471554836806519,42.34838077464331,,,76.79,,
France,2021,,,25.0,,,,74.0,75.5728289467277,74.26257431738834,,,81.88238,100.0,,,61.476343739096905,,,,,,,75.15,,96.07843137254902
France,2022,,,2.631578947368421,,,100.0,74.33,,,93.93825736601,96.3693350470772,81.88238,,,97.87352723883839,,,,,,,92.379607014536,78.61,91.33261105092092,
Germany,2012,18.73058144695961,100.0,100.0,25.806451612903224,99.8997995991984,100.0,65.09,34.78365694080111,71.63825523978765,81.28393616363529,90.0884170930072,74.06325,100.0,,97.8901774568688,,53.96676666545611,36.439759406667314,38.80367037837006,70.67306918585015,,90.6550515286384,73.21,77.61194029850746,80.3921568627451
Germany,2013,17.828474862695394,100.0,4.3478260869565215,,100.0,,63.05,33.99642542277178,,,,74.13655,,,,,53.69551921314122,34.77344906562021,75.01279169911518,72.30588447642548,4.3462886828647,,72.38,,
Germany,2014,21.345472938796156,100.0,100.0,24.242424242424242,100.0,,60.71,35.76517472440552,,,,74.13655,,12.965808161218407,,,56.070361385298064,33.82053561057277,48.34608976553783,67.82981930338894,4.1209355736630116,,71.66,,
Germany,2015,17.19641401792991,100.0,100.0,,100.0,,60.8,35.81341672242739,,,,74.41213,,35.76285697427115,,,58.70524420270703,34.57587803663913,90.8169547813757,68.94492166095205,3.324498775854886,,75.22,,
Germany,2016,20.371711320299305,100.0,100.0,24.242424242424242,100.0,100.0,60.57,35.99762846440503,71.50098093381978,87.2619235596082,93.2815185333434,74.5185,100.0,4.147635586673873,96.0750838598175,,60.39313802551359,42.22176251552284,64.1762484221542,71.550444932331,3.390834733059939,85.3959149381942,72.73,87.02290076335878,82.3529411764706
Germany,2017,22.868910204302825,100.0,100.0,,100.0,,60.88,36.72790804559956,,,,76.99299,,20.477213264070134,,,63.92151378690517,46.003354425814656,93.13267561746294,71.13330576888353,3.31571702999271,,74.59,,
Germany,2018,18.05733846812152,100.0,16.666666666666668,22.857142857142858,100.0,,59.93,38.271319629015885,,,,80.56568,,12.577896881899953,,,63.62354988089197,44.42282528374826,43.284155434091545,77.21945932648411,,,76.62,,
Germany,2019,,,100.0,,99.6993987975952,,60.63,40.85542733620865,,,,80.79027,100.0,,,51.24549739101663,63.78733230968714,50.2853839989177,99.9713415628287,75.8193118493633,,,72.96,,
Germany,2020,,,0.6578947368421052,21.62162162162162,100.0,,60.29,45.652454480847254,,,,80.79027,,,,,61.64375429924777,48.44134867115893,5.4694558463964675,85.36849669357767,,,70.67,,
Germany,2021,,,50.0,,,,60.5,43.28829007007357,69.90158123847472,,,80.79027,100.0,,,70.9521432613696,,,,,,,69.85,,88.23529411764706
Germany,2022,,,50.0,,,100.0,60.6,,,90.8314321558532,93.4399566764646,80.79027,,,96.2548208041123,,,,,,,87.7379170210565,73.23,82.89473684210526,
Ireland,2012,40.07597340930675,1.1049723756906078,100.0,30.76923076923077,74.44889779559118,25.0,59.57,41.66211805827837,78.84224824278091,71.0537897990507,92.1308612235499,75.92082,5.360166167492898,,95.73997690719021,,5.668473153618169,23.178745940404475,87.95200480683074,,,98.1263847590427,69.9,86.59217877094972,66.66666666666667
Ireland,2013,27.91005291005291,0.9756097560975612,100.0,,84.2685370741483,,57.36,42.57034112909114,,,,75.92082,,,,,5.670076899109835,24.86777455510126,73.3743898182115,59.059375991696285,,,70.08,,
Ireland,2014,30.780452224653537,0.9756097560975612,100.0,20.51282051282051,83.36673346693388,,57.36,43.06004067427464,,,,75.92082,,0.430903565692305,,,5.624659811425443,22.83953060297261,77.9010645266959,56.29581319806629,,,71.82,,
Ireland,2015,29.428172942817298,0.9569377990430625,100.0,,84.2685370741483,,57.38,41.155724910025434,,,,75.92082,,8.053689768059836,,,5.937261858965063,23.084670037396965,69.84296540662405,67.40600911983098,,,73.87,,
Ireland,2016,26.00123228589033,0.9216589861751154,100.0,25.806451612903224,79.85971943887776,25.0,57.36,39.92299156868339,77.01689398963435,62.6852029769919,85.4371919705398,75.97923,8.007855644722536,9.167110332637888,94.3520008913316,,8.099165393046071,24.868589067898515,100.0,85.07946526899045,,87.3536873083006,73.52,93.75,68.62745098039215
