Country,Year,nitro,eutro,wasteG,wasteR,mspVal,ohiBio,co2,phCopernicus,fmsyF,bBmsy,kbaMPA,natura2kEEZ,fseRiskkRatio,tacCatch,compositeIUU,fteCoastalPop,gvaHoursW,economies,gvaNights,oResearch,sadTac,ohiArt,threatenedFish,imoRatedf,seaMining
France,2013,31.64983164983165,5.263157894736842,31.384615384615387,64.32865731462927,25.0,71.84,61.82815724892038,98.60032317073173,91.64745250407258,97.0709363662867,63.227,40.230709071949946,2.890855230495318,85.94632834914543,54.60868413000854,15.15296193554318,37.11375552981191,88.09310448667479,50.65459300429699,65.1770996373695,90.60785792686946,77.44,89.40571501575675,84.31372549019608,100.0
France,2014,31.756756756756754,50.0,30.76923076923077,64.12825651302605,25.0,71.14,67.88544146265984,98.57086585365855,92.28113828573545,97.0261914951655,72.16826,40.23626076545784,18.967452257293814,87.72389999133375,54.60868413000854,14.997002644720517,36.340443035091944,33.79983125033565,50.176749658413634,59.76115037352141,90.891761814308,78.78,90.67583681117452,84.31372549019608,100.0
France,2015,25.201072386058982,25.0,29.177718832891244,64.42885771543087,25.0,71.68,67.13742767697136,98.54140853658538,92.91482406739833,96.9814466240443,74.48404,40.24181245896575,35.04404928409231,89.50147163352207,54.60868413000854,14.491687902980175,36.57428726137466,59.00475775414247,45.94298953816178,54.345201109673326,91.17566570174654,77.65,91.94595860659227,84.31372549019608,100.0
France,2016,19.789473684210527,33.333333333333336,27.586206896551722,64.62925851703407,25.0,71.76,66.84774177292998,98.51195121951221,93.5485098490612,96.9367017529231,76.43594,40.247364152473644,51.120646310890805,91.2790432757104,54.60868413000854,14.087974921703564,31.941735322882288,28.159941684020332,47.0124512099124,48.92925184582524,91.4595695891851,77.59,93.21608040201004,84.31372549019608,100.0
France,2017,27.893175074183972,50.0,26.696329254727473,69.93987975951904,35.714285714285715,73.25,66.46049591223327,98.49436585365855,93.61346776855267,96.84214063528212,76.91387,60.164909434982434,67.1972433376893,92.37812393623173,54.60868413000854,14.271383514883262,35.61743075088345,63.67792228596275,53.21153471760485,43.51330258197716,91.61290916007691,76.62,92.90216884349519,86.66666666666667,100.0
France,2018,23.03921568627451,1.0638297872340428,25.806451612903224,70.04008016032066,46.42857142857143,72.86,69.39071810736048,98.47678048780489,93.67842568804414,96.74757951764113,78.18471,80.08245471749122,1.3118431789552008,93.47720459675307,54.60868413000854,14.166663727260783,33.957306717593426,91.96750706488876,56.49202035053212,43.51330258197716,91.76624873096873,76.44,92.58825728498033,89.01960784313725,100.0
France,2019,24.73684210526316,12.5,24.014336917562723,70.04008016032066,57.14285714285714,73.41,70.76893394313241,98.45919512195123,93.7433836075356,96.65301840000015,81.85441,100.0,1.3118431789552008,94.5762852572744,54.60868413000854,14.310846857996207,33.03152694694356,80.62426443059954,56.331294410190345,43.51330258197716,91.91958830186056,76.45,92.27434572646547,91.37254901960785,100.0
France,2020,24.73684210526316,4.0,22.22222222222222,71.94388777555109,67.85714285714286,73.49,81.81707705602103,98.44160975609756,93.80834152702707,96.55845728235917,81.88238,100.0,1.3118431789552008,95.67536591779573,58.04251393455272,12.409120987388304,34.658992619851404,0.2471554836806519,42.34838077464331,43.51330258197716,92.07292787275237,76.79,91.96043416795062,93.72549019607843,100.0
France,2021,24.73684210526316,25.0,22.22222222222222,71.94388777555109,78.57142857142857,74.19,75.5728289467277,98.4240243902439,93.87329944651854,96.46389616471818,81.88238,100.0,1.3118431789552008,96.77444657831705,61.476343739096905,12.409120987388304,34.658992619851404,0.2471554836806519,42.34838077464331,43.51330258197716,92.22626744364419,75.15,91.64652260943578,96.07843137254902,100.0
France,2022,24.73684210526316,2.631578947368421,22.22222222222222,71.94388777555109,89.28571428571428,74.12,75.5728289467277,98.4240243902439,93.93825736601,96.3693350470772,81.88238,100.0,1.3118431789552008,97.87352723883839,61.476343739096905,12.409120987388304,34.658992619851404,0.2471554836806519,42.34838077464331,43.51330258197716,92.379607014536,78.61,91.33261105092092,96.07843137254902,100.0
France,2023,24.73684210526316,2.631578947368421,22.22222222222222,71.94388777555109,100.0,74.12,75.5728289467277,98.4240243902439,93.93825736601,96.3693350470772,81.88238,100.0,1.3118431789552008,97.87352723883839,61.476343739096905,12.409120987388304,34.658992619851404,0.2471554836806519,42.34838077464331,43.51330258197716,92.379607014536,78.61,91.33261105092092,96.07843137254902,100.0
