,Year,enName,speciesAcronym,FishStock,StockKey,SpeciesName,ICES Areas (splited with character '~'),StockSize,StockSizeDescription,StockSizeUnits,FishingPressure,FishingPressureDescription,FishingPressureUnits,Flim,Fpa,Blim,Bpa,FMSY,MSYBtrigger,CatchesLadingsUnits,Landings,OfficialLandings,Catches,Report,AssessmentKey,AssessmentYear,fullArea,area,Area,Species,Belgium,China,Denmark,Estonia,Faroe Islands,Finland,France,Germany,Greenland,Guernsey,Iceland,Ireland,Isle of Man,Japan,Jersey,"Korea, Republic of",Latvia,Lithuania,Netherlands,Norway,Poland,Portugal,Russian Federation,Spain,Sweden,"Taiwan, Province of China",United Kingdom of GB,_mergeCatch,sumOffCatches,diffCatches
36,2012,Sole,sol,sol.27.4,169278,Solea solea,27.4.a ~ 27.4.b ~ 27.4.c,28925,Spawning Stock Biomass,tonnes,0.474,F,,0.4196,0.311,30828,42838,0.2072,42838,tonnes,12168,,14696.0,https://doi.org/10.17895/ices.advice.19453814.v1,17030,2022,0,27.4.a,27.4.a,sol,0.0,,0.03,,,,0.24,0.0,,,,0.0,,,,,,,20.0,2.33,,,,,0.0,,0.0,both,22.599999999999998,-0.998462166575939
37,2012,Sole,sol,sol.27.7e,169275,Solea solea,27.7.e,3738,SSB,tonnes,0.2311,F,,0.44,0.39,2000,2900,0.29,2900,tonnes,872.3,,,https://doi.org/10.17895/ices.advice.19453826.v1,17143,2022,2,27.4.a,27.4.a,sol,0.0,,0.03,,,,0.24,0.0,,,,0.0,,,,,,,20.0,2.33,,,,,0.0,,0.0,both,22.599999999999998,
38,2016,Sole,sol,sol.27.4,169278,Solea solea,27.4.a ~ 27.4.b ~ 27.4.c,31209,Spawning Stock Biomass,tonnes,0.4661,F,,0.4196,0.311,30828,42838,0.2072,42838,tonnes,14118,,15323.0,https://doi.org/10.17895/ices.advice.19453814.v1,17030,2022,0,27.4.a,27.4.a,sol,0.0,,5.74,,,,0.0,0.0,,,,0.0,,,,,,,0.0,0.06,,,,,0.0,,0.07,both,5.87,-0.999616915747569
39,2016,Sole,sol,sol.27.7e,169275,Solea solea,27.7.e,4523,SSB,tonnes,0.2114,F,,0.44,0.39,2000,2900,0.29,2900,tonnes,913.3,,,https://doi.org/10.17895/ices.advice.19453826.v1,17143,2022,2,27.4.a,27.4.a,sol,0.0,,5.74,,,,0.0,0.0,,,,0.0,,,,,,,0.0,0.06,,,,,0.0,,0.07,both,5.87,
40,2020,Sole,sol,sol.27.4,169278,Solea solea,27.4.a ~ 27.4.b ~ 27.4.c,21761,Spawning Stock Biomass,tonnes,0.3285,F,,0.4196,0.311,30828,42838,0.2072,42838,tonnes,8841,,10490.0,https://doi.org/10.17895/ices.advice.19453814.v1,17030,2022,0,27.4.a,27.4.a,sol,0.0,,0.0,,,,0.0,0.0,,,,0.0,,,,,,,0.0,0.03,,,,,0.0,,0.0287,both,0.0587,-0.9999944041944709
41,2020,Sole,sol,sol.27.7e,169275,Solea solea,27.7.e,5464,SSB,tonnes,0.2393,F,,0.44,0.39,2000,2900,0.29,2900,tonnes,1219,,,https://doi.org/10.17895/ices.advice.19453826.v1,17143,2022,2,27.4.a,27.4.a,sol,0.0,,0.0,,,,0.0,0.0,,,,0.0,,,,,,,0.0,0.03,,,,,0.0,,0.0287,both,0.0587,
42,2012,Ling,lin,lin.27.5a,169135,Molva molva,27.5.a.1 ~ 27.5.a.2,31376,SSB,tonnes,0.5887,F,,0.95,0.62,9000,11100,0.3,11100,,11817,,11817.0,https://doi.org/10.17895/ices.advice.19448045.v1,17097,2022,0,27.5.a.1,27.5.a.1,lin,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,both,48.0,-0.9959380553439959
43,2016,Ling,lin,lin.27.5a,169135,Molva molva,27.5.a.1 ~ 27.5.a.2,38903,SSB,tonnes,0.4205,F,,0.95,0.62,9000,11100,0.3,11100,,9884,,9884.0,https://doi.org/10.17895/ices.advice.19448045.v1,17097,2022,0,27.5.a.1,27.5.a.1,lin,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,both,0.0,-1.0
44,2020,Ling,lin,lin.27.5a,169135,Molva molva,27.5.a.1 ~ 27.5.a.2,30032,SSB,tonnes,0.333,F,,0.95,0.62,9000,11100,0.3,11100,,7061,,7061.0,https://doi.org/10.17895/ices.advice.19448045.v1,17097,2022,0,27.5.a.1,27.5.a.1,lin,,,,,,,,,,,5835.0,,,,,,,,,,,,,,,,,both,5835.0,-0.17362979747911061
45,2012,Tusk,usk,usk.27.5a14,169297,Brosme brosme,27.14.a ~ 27.14.b.1 ~ 27.14.b.2 ~ 27.5.a.1 ~ 27.5.a.2,6684,SSB,tonnes,0.4289,F,,0.44,0.23,3400,4800,0.23,4800,,8125,,8125.0,https://doi.org/10.17895/ices.advice.19453874.v1,17100,2022,0,27.14.a,27.14.a,usk,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,both,0.0,-1.0
