,Country,Year,nitro,wasteG,wasteR,scoreESD,co2pc,mpa,ohiBio,fseScore,ohiLive,ohiTour,oResearch,ohiArt,threatened,imoRatedf,plastic,14.1,14.3,14.5,14.7,14.b
61,Italy,2015,58.19,59.66,82.0,100.0,75.4,29.28,66.24,99.24,85.62,67.16,7.97,65.27,92.668,72.54901960784314,70.74150305707911,64.43514902944818,87.61342064264728,47.39159684059122,76.33408254506112,78.84949138551997
62,Italy,2016,58.82,49.58,83.9,100.0,75.71,29.28,63.66,99.16,85.62,65.43,7.95,65.24,92.668,72.54901960784314,66.51654182971464,62.65644689614115,87.77074698404004,46.14327125470595,75.45730214550167,78.83420497355162
63,Italy,2017,57.3,49.58,81.8,100.0,76.4,29.32,65.62,99.91,85.62,65.41,5.03,64.56,92.668,72.54901960784314,65.49013995354346,61.38140128951758,88.12079526274236,47.11273165988747,75.44715845115702,78.48760340749644
150,Italy,2018,57.3,42.86,86.9,100.0,76.83,29.32,65.31,99.86,85.62,65.7,5.03,63.78,92.668,74.50980392156863,64.49771991003188,60.888219033552126,88.33885157891449,46.96277164984409,75.5942250495392,78.08976972800777
218,Italy,2019,57.3,42.86,89.5,100.0,77.67,29.26,65.0,99.59,85.62,64.56,5.03,63.88,92.668,74.50980392156863,65.7588923030359,61.514896771310376,88.76462577754322,46.781349167810774,75.01588981152315,78.14078980658964
151,Italy,2020,57.3,35.29,88.4,100.0,82.73,32.45,64.7,99.49,85.62,51.51,5.03,64.29,92.668,74.50980392156863,61.253177224045224,59.27329243017493,91.32412534824597,48.30147361955377,68.3503238618698,78.34992356718507
422,Italy,2021,57.3,35.29,88.4,100.0,78.69,32.45,64.39,99.49,85.62,57.06,5.03,63.4,92.668,74.50980392156863,61.253177224045224,59.27329243017493,89.28129320632695,48.15092604317982,71.19597297200653,77.8958507855063
64,Latvia,2012,76.99,94.96,38.7,100.0,94.41,53.45,77.7,99.33,77.74,36.83,3.858181818181819,88.51,97.701,80.3921568627451,66.21638502071991,71.58290781819373,97.20098104387776,65.46216375201433,56.91044000969094,93.09415351362203
65,Latvia,2013,75.34,94.96,36.0,100.0,94.71,53.45,75.25,99.33,89.5,34.72,3.858181818181819,89.03,97.701,80.3921568627451,64.7883466838838,70.04428842482254,97.3514064472975,64.25717506584267,61.481678555984814,93.35542975556898
66,Latvia,2014,75.29,94.12,39.0,100.0,95.2,53.45,74.64,99.33,89.5,37.89,5.77375,89.27,97.701,80.3921568627451,65.96933928583695,70.61428186171314,97.5970488412258,63.95690210063371,63.15472448596333,93.4759919417951
67,Latvia,2015,75.2,94.12,39.2,100.0,94.58,53.45,73.1,98.71,89.5,44.62,6.13375,89.12,97.701,80.3921568627451,66.07471760270158,70.62261148715994,97.28622510894135,63.198368306720646,66.67615752989641,93.40064255581768
68,Latvia,2016,76.37,77.31,41.8,100.0,94.54,53.45,71.71,99.31,89.5,44.21,15.43090909090909,89.42,97.701,80.3921568627451,59.28569037969869,67.77389257537595,97.26616838911637,62.513127928965936,66.46269162247263,93.55133474064854
69,Latvia,2017,77.8,77.31,41.2,100.0,94.22,53.45,71.5,99.69,89.5,35.63,12.894,89.35,97.701,80.3921568627451,58.97487836183285,68.32242887026312,97.10569894656402,62.40955265142395,61.96299803102584,93.51617558653724
70,Latvia,2018,75.92,65.55,50.8,100.0,91.17,53.45,70.57,98.04,89.5,33.42,12.894,89.71,97.701,80.3921568627451,58.12810885141091,66.96481842937463,95.57479958496285,61.950702258439144,60.79253567005409,93.69697886782072
222,Latvia,2019,75.92,65.55,46.9,100.0,91.83,53.46,71.86,98.04,89.5,33.83,12.894,90.1,97.701,80.3921568627451,56.147262817391216,65.95930522552835,95.906298034458,62.59218170801474,61.01008140073176,93.89280659107058
152,Latvia,2020,75.92,54.62,47.9,100.0,94.5,53.46,71.78,99.86,89.5,27.3,12.894,90.33,97.701,80.3921568627451,51.24897889868893,63.46396423488359,97.24611123426718,62.55272927667091,57.52088664140283,94.00827412834943
436,Latvia,2021,75.92,54.62,47.9,100.0,93.06,53.46,72.46,99.86,89.5,30.0,12.894,89.71,97.701,82.35294117647058,51.24897889868893,63.46396423488359,96.52376159851349,62.88801443369669,58.970205810936044,93.69697886782072
71,Lithuania,2012,74.66,89.92,38.9,100.0,85.17,71.72,76.04,99.6,70.18,14.03,3.858181818181819,93.9,95.238,58.82352941176471,63.88867554530229,69.25337853038792,92.55527087844236,73.87684193421404,41.069807617814874,94.568763365767
72,Lithuania,2013,73.77,89.92,42.9,100.0,87.55,71.72,73.54,99.88,76.21,14.82,3.858181818181819,92.66,95.238,58.82352941176471,65.98338223276502,69.86583856586654,93.75432117837731,72.62942990176164,44.367048091875674,93.94811570084232
73,Lithuania,2014,76.63,83.19,51.2,100.0,87.89,71.72,72.53,99.92,76.21,17.65,5.77375,91.7,95.238,58.82352941176471,67.00252831689032,71.80011748798883,93.92547154520727,72.12488629047998,45.934650898937704,93.46732587595467
74,Lithuania,2015,76.54,83.19,54.8,100.0,87.0,71.72,71.59,99.18,76.21,18.48,6.13375,90.55,95.238,58.82352941176471,68.84778037993637,72.6837102163658,93.47738562811192,71.6549970518452,46.390475016557865,92.89104232735511
153,Lithuania,2016,76.54,78.15,74.4,100.0,86.47,71.72,69.74,99.14,76.21,20.23,15.43090909090909,90.48,95.238,58.82352941176471,76.27269516306558,76.4063358920725,93.21043245211091,70.72930712817353,47.346418565059125,92.85595218180293
226,Lithuania,2017,76.54,78.15,73.4,99.95135078048929,85.27,85.3,69.5,97.44,76.21,19.91,12.894,90.55,95.238,58.82352941176471,75.77127734855581,76.15554167926463,92.58154807242379,77.3596033068481,47.17211172861562,92.89104232735511
75,Lithuania,2018,68.26,73.11,72.1,100.0,84.36,85.3,69.22,99.7,76.21,19.44,12.894,91.06,95.238,62.745098039215684,72.60482437342871,70.42906129472982,92.1467844024645,77.21807971813101,46.915705952188766,93.14665733496697
227,Lithuania,2019,68.26,73.11,79.6,100.0,83.44,85.31,70.83,99.58,76.21,20.07,12.894,91.42,95.238,62.745098039215684,76.34810219281768,72.2927349373704,91.68256818303055,78.03637404494297,47.2592918507763,93.32704746073118
154,Lithuania,2020,68.26,70.59,63.4,100.0,84.26,85.31,70.69,99.86,76.21,13.8,12.894,91.73,95.238,62.745098039215684,66.98534920189658,67.62237426491306,92.09633939078996,77.96568871357657,43.796303498846456,93.48235441262253
450,Lithuania,2021,68.26,70.59,63.4,100.0,83.59,85.31,71.69,99.86,76.21,14.81,12.894,91.13,95.238,64.70588235294117,66.98534920189658,67.62237426491306,91.75827437889167,78.47041870948202,44.361468490635374,93.18173603539825
76,Malta,2012,24.84,95.8,33.3,100.0,70.46,20.88,72.23,,84.24,100.0,3.858181818181819,71.17,,60.78431372549019,63.75601446946811,43.85355344933538,85.10128135972414,45.799711282799066,92.08625000178375,
77,Malta,2013,21.84,95.8,23.0,92.95986184162106,78.0,20.88,68.12,,86.67,100.0,3.858181818181819,73.16,,60.78431372549019,58.188959164526146,39.58395914212114,85.44715654340317,43.83480827687193,93.31117969806851,
78,Malta,2014,21.84,93.28,33.6,89.32076778300771,79.05,20.88,67.64,,86.67,100.0,5.77375,73.44,,60.78431372549019,62.70554909894695,41.75453550390242,84.16970964891038,43.60513784263731,93.31117969806851,
79,Malta,2015,21.93,93.28,28.8,88.3542809099199,93.48,20.88,67.59,,86.67,100.0,6.13375,73.25,,60.78431372549019,60.13709730435098,40.56862488730121,90.91352769228094,43.58121143191144,93.31117969806851,
155,Malta,2016,21.93,88.24,23.7,85.67381964141703,100.0,20.88,65.0,,86.67,100.0,15.43090909090909,72.95,,60.78431372549019,54.970728644555315,38.08192613070945,92.80924407536993,42.34118566431611,93.31117969806851,
231,Malta,2017,21.93,88.24,19.2,78.37794928634922,97.36,20.9,64.92,,86.67,100.0,12.894,72.29,,60.78431372549019,52.503831319995115,36.89209922969058,87.8176025649621,42.313594531735205,93.31117969806851,
156,Malta,2018,21.93,91.6,11.1,82.13222501120421,97.98,20.9,64.57,,86.67,100.0,12.894,77.94,,66.66666666666667,49.51240501229735,35.44691799572633,90.02120057402078,42.14591528742718,93.31117969806851,
232,Malta,2019,21.93,91.6,15.4,78.30395085981678,97.23,24.82,64.24,,86.67,100.0,12.894,79.5,,66.66666666666667,51.97255036248312,36.635628583804376,87.71584708237934,44.076040807083196,93.31117969806851,
157,Malta,2020,21.93,89.92,10.2,88.11527795554417,99.18,24.82,64.82,,86.67,99.72,12.894,80.14,,66.66666666666667,48.19879250361178,34.811421117295765,93.63128653978752,44.3552820262053,93.17213645476741,
464,Malta,2021,21.93,89.92,10.2,100.0,97.23,24.82,64.51,,86.67,99.96,12.894,78.04,,66.66666666666667,48.19879250361178,34.811421117295765,98.61402738077592,44.20604169524426,93.29131749452097,
